Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,8474,0,2185,23496,1536
01/02/25,0,0,0,7306,0,1462,19830,3922
01/03/25,0,0,0,7996,0,1625,21140,4673
01/04/25,0,0,0,8692,0,1822,23820,9951
01/05/25,0,0,0,7951,0,1967,25197,11311
01/06/25,0,0,0,7982,0,1196,25005,12492
01/07/25,0,0,0,9059,0,1620,28206,12737
01/08/25,0,0,0,9010,0,1434,27628,12484
01/09/25,0,0,0,9180,0,1242,27778,12898
01/10/25,0,0,0,8946,0,1644,30329,10614
01/11/25,0,0,0,9000,0,1360,28088,7928
01/12/25,0,0,0,10145,0,1311,26199,4430
